Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
2/1/1993 15:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,28,15,60,0.25,Normal count,158,1,4,17.05,,,119657,
2/1/1993 17:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,28,10,120,0.08,Normal count,140,1,12,51,,,318299,
2/1/1993 21:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,28,10,60,0.17,Normal count,150,1,6,26.64,,,299852,
2/2/1993 23:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,60,0.17,Normal count,113,1,6,26.38,,,192680,
2/4/1993 1:00,SWP,Chinook Salmon,Unclipped,Fall,,,,,,,,,,,,10,180,0.06,Normal count,34,1,18,73.88,,,465826,
2/4/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,30,240,0.12,Normal count,105,1,8,36.93,,,60082,
2/4/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,99,30,240,0.12,Normal count,153,1,8,36.93,,,998780,
2/5/1993 1:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,100,10,120,0.08,Normal count,172,1,12,52.67,,,37236,
2/5/1993 3:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,161,1,12,52.38,,,844220,
2/5/1993 3:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,166,1,12,52.38,,,287421,
2/5/1993 14:00,CVP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,190,1,12,6.46,,,1115444,
2/5/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,32,10,60,0.17,Normal count,170,1,6,26.88,,,737106,
2/6/1993 0:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,168,1,12,53.34,,,382812,
